elementName,category,source,elementMappingName,sourceSystem,sourceTable,sourceAttribute,sourceDerivation,Note,elementDefinition
Component Treasury Account Symbol,account,financial,AllocationTransferAgencyIdentifier,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Component Treasury Account Symbol,account,financial,AgencyIdentifier,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Component Treasury Account Symbol,account,financial,BeginningPeriodOfAvailability,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Component Treasury Account Symbol,account,financial,EndingPeriodOfAvailability,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Component Treasury Account Symbol,account,financial,AvailabilityTypeCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Component Treasury Account Symbol,account,financial,MainAccountCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Object Class,account,financial,ObjectClass,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Obligated Amount ,account,financial,ObligatedAmount,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Program Activity,account,financial,ProgramActivity,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Outlay,account,financial,OutlayAmount,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
