elementName,category,source,elementMappingName,sourceSystem,sourceTable,sourceAttribute,sourceDerivation,Note,elementDefinition
Component Treasury Account Symbol,account,financial,AllocationTransferAgencyIdentifier,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Component Treasury Account Symbol,account,financial,AgencyIdentifier,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Component Treasury Account Symbol,account,financial,BeginningPeriodOfAvailability,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Component Treasury Account Symbol,account,financial,EndingPeriodOfAvailability,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Component Treasury Account Symbol,account,financial,AvailabilityTypeCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Component Treasury Account Symbol,account,financial,MainAccountCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Amount of Budget Authority Appropriated ,account,financial,BudgetAuthorityAppropriatedAmount,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Unobligated Amount,account,financial,UnobligatedAmount,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Amount of Other Budgetary Resources,account,financial,OtherBudgetaryResourcesAmount,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
