elementName,category,source,elementMappingName,sourceSystem,sourceTable,sourceAttribute,sourceDerivation,Note,elementDefinition
Award ID,award,award,awardId,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Award Modification/Amendment Number,award,award,awardModAmendment,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Award Object Class,award,financial,awardObjectClass,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Funding Action Obligation,award,financial,awardFundingActionOblicationAmt,,,,,,http://fedspendingtransparency.github.io/whitepapers/amount/
Treasury Account Symbol (excluding Sub-Account),award,financial,awardTasAllocationTransferAgencyCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Treasury Account Symbol (excluding Sub-Account),award,financial,awardTasBeginningPoa,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Treasury Account Symbol (excluding Sub-Account),award,financial,awardTasEndingPoa,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Treasury Account Symbol (excluding Sub-Account),award,financial,awardTasAvailabilityTypeCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Treasury Account Symbol (excluding Sub-Account),award,financial,awardTasAgencyCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Treasury Account Symbol (excluding Sub-Account),award,financial,awardTasMainAccountCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Treasury Account Symbol (excluding Sub-Account),award,financial,awardTasSubAccountCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
